,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
"Ernst, Joni (R-IA)",,,,,,,,,,,,,,40800,88271,688402,22779
"Tillis, Thom (R-NC)",,,,,,,,,,,,,,39200,75775,732820,3000
"Perdue, David (R-GA)",,,,,,,,,,,,,,30050,41500,2087171,
"Sasse, Ben (R-NE)",,,,,,,,,,,,,,28800,22700,162009,19200
"Cotton, Tom (R-AR)",,,,,,,,,,,,,,23000,161071,172174,61566
"Peters, Gary (D-MI)",,,,,,,,,,,,,,21501,29679,422754,39818
"Capito, Shelley Moore (R-WV)",,,,,,,,,,,,,,15000,42400,565218,187200
"Rounds, Mike (R-SD)",,,,,,,,,,,,,,11800,71600,216363,18000
"Strange, Luther (R-AL)",,,,,,,,,,,,,,,371575,,
"Hyde-Smith, Cindy (R-MS)",,,,,,,,,,,,,,,356967,248821,14716
"Jones, Doug (D-AL)",,,,,,,,,,,,,,,162536,209526,
"Kennedy, John (R-LA)",,,,,,,,,,,,,,,159350,176052,454582
"Smith, Tina (D-MN)",,,,,,,,,,,,,,,106322,152296,8936
"Young, Todd (R-IN)",,,,,,,,,,,,,,,58500,52356,379415
"Harris, Kamala (D-CA)",,,,,,,,,,,,,,,27121,174153,
"Masto, Catherine Cortez (D-NV)",,,,,,,,,,,,,,,21631,34126,567313
"Duckworth, Tammy (D-IL)",,,,,,,,,,,,,,,18223,68466,127000
"Van Hollen, Chris (D-MD)",,,,,,,,,,,,,,,7795,19930,53360
"Hassan, Maggie (D-NH)",,,,,,,,,,,,,,,2847,15202,228799
"Loeffler, Kelly (R-GA)",,,,,,,,,,,,,,,,1546233,84490
"McSally, Martha (R-AZ)",,,,,,,,,,,,,,,,961477,
"Kelly, Mark (D-AZ)",,,,,,,,,,,,,,,,602097,433396
"Sinema, Kyrsten (D-AZ)",,,,,,,,,,,,,,,,97167,378995
"Cramer, Kevin (R-ND)",,,,,,,,,,,,,,,,46601,29812
"Rosen, Jacky (D-NV)",,,,,,,,,,,,,,,,42723,29686
"Blackburn, Marsha (R-TN)",,,,,,,,,,,,,,,,41508,73722
"Scott, Rick (R-FL)",,,,,,,,,,,,,,,,32655,67979
"Hawley, Josh (R-MO)",,,,,,,,,,,,,,,,27767,38530
"Braun, Mike (R-IN)",,,,,,,,,,,,,,,,19359,29425
"Romney, Mitt (R-UT)",,,,,,,,,,,,,,,,7908,10750
"Warnock, Raphael (D-GA)",,,,,,,,,,,,,,,,,835005
"Padilla, Alex (D-CA)",,,,,,,,,,,,,,,,,213381
"Hagerty, Bill (R-TN)",,,,,,,,,,,,,,,,,77032
"Marshall, Roger (R-KS)",,,,,,,,,,,,,,,,,52025
"Tuberville, Tommy (R-AL)",,,,,,,,,,,,,,,,,30700
"Hickenlooper, John (D-CO)",,,,,,,,,,,,,,,,,28683
"Ossoff, Jon (D-GA)",,,,,,,,,,,,,,,,,23367
"Lummis, Cynthia (R-WY)",,,,,,,,,,,,,,,,,19300
"Lujan, Ben Ray (D-NM)",,,,,,,,,,,,,,,,,8055
